Ticker,Sector_Code
A,1
AA,2
AAN,3
AAON,4
AAP,3
AAPL,1
AAT,5
AAWW,4
ABAX,6
ABBV,6
ABC,6
ABM,4
ABMD,6
ABT,6
ACAT,3
ACC,5
ACET,4
ACI,7
ACIW,1
ACM,4
ACN,1
ACOR,6
ACT,6
ACXM,1
ADBE,1
ADC,5
ADI,1
ADM,8
ADP,1
ADS,1
ADSK,1
ADT,4
ADTN,1
ADVS,1
AEC,5
AEE,9
AEGN,4
AEIS,1
AEO,3
AEP,9
AES,9
AET,6
AF,5
AFAM,6
AFFX,6
AFG,5
AFL,5
AGCO,4
AGYS,1
AHL,5
AHS,6
AIG,5
AIN,4
AIR,4
AIRM,6
AIT,4
AIV,5
AIZ,5
AJG,5
AKAM,1
AKR,5
AKRX,6
AKS,2
ALB,2
ALE,9
ALEX,4
ALGN,6
ALK,4
ALL,5
ALLE,4
ALOG,6
ALTR,1
ALXN,6
AMAT,1
AMCX,3
AMD,1
AME,4
AMED,6
AMG,5
AMGN,6
AMP,5
AMRI,6
AMSF,5
AMSG,6
AMT,10
AMWD,4
AMZN,3
AN,3
ANDE,8
ANF,3
ANIK,6
ANN,3
ANSS,1
AOI,8
AOL,1
AON,5
AOS,4
APA,7
APC,7
APD,2
APEI,3
APH,1
APOG,4
APOL,3
ARCB,4
ARE,5
AREX,7
ARG,2
ARO,3
ARRS,1
ARW,1
ASEI,4
ASGN,4
ASH,2
ASNA,3
ASTE,4
ATI,2
ATML,1
ATNI,10
ATO,9
ATR,2
ATU,4
ATW,7
AVA,9
AVAV,4
AVB,5
AVD,2
AVGO,1
AVP,8
AVT,1
AVY,4
AWR,9
AXE,1
AXP,5
AYI,4
AZO,3
AZZ,4
B,4
BA,4
BABY,6
BAC,5
BANR,5
BAS,7
BAX,6
BBBY,3
BBCN,5
BBG,7
BBOX,1
BBT,5
BBY,3
BC,3
BCC,2
BCO,4
BCOR,1
BCPC,2
BCR,6
BDC,4
BDX,6
BEAV,4
BELFB,1
BEN,5
BF/B,8
BFS,5
BGC,4
BGFV,3
BGG,4
BGS,8
BHE,1
BHI,7
BID,3
BIG,3
BIIB,6
BIO,6
BJRI,3
BK,5
BKE,3
BKH,9
BKMU,5
BKS,3
BLK,5
BLKB,1
BLL,2
BMI,4
BMR,5
BMS,2
BMY,6
BNNY,8
BOBE,3
BOFI,5
BOH,5
BPFH,5
BR,1
BRC,4
BRCM,1
BRKL,5
BRKS,1
BRLI,6
BRO,5
BRS,7
BSX,6
BTU,7
BWA,3
BWLD,3
BWS,3
BXP,5
BXS,5
BYD,3
C,5
CA,1
CAB,3
CACI,1
CAG,8
CAH,6
CAKE,3
CALM,8
CAM,7
CAMP,1
CAS,2
CASY,8
CAT,4
CATM,1
CATO,3
CATY,5
CB,5
CBB,10
CBEY,10
CBG,5
CBK,3
CBM,6
CBOE,5
CBR,1
CBRL,3
CBS,3
CBSH,5
CBST,6
CBT,2
CBU,5
CCC,2
CCE,8
CCI,10
CCL,3
CCMP,1
CCRN,6
CDI,4
CDNS,1
CDR,5
CEB,4
CECO,3
CELG,6
CENTA,8
CENX,2
CERN,6
CEVA,1
CF,2
CFNL,5
CFR,5
CGNX,1
CHCO,5
CHD,8
CHE,6
CHK,7
CHRW,4
CHS,3
CHSP,5
CI,6
CIEN,1
CINF,5
CIR,4
CJES,7
CKH,7
CKP,1
CL,8
CLC,4
CLD,7
CLF,2
CLGX,5
CLH,4
CLI,5
CLMS,5
CLW,2
CLX,8
CMA,5
CMC,2
CMCSA,3
CME,5
CMG,3
CMI,4
CMN,6
CMO,5
CMP,2
CMS,9
CMTL,1
CNC,6
CNK,3
CNL,9
CNMD,6
CNP,9
CNQR,1
CNVR,1
CNW,4
CNX,7
COF,5
COG,7
COH,3
COHR,1
COHU,1
COL,4
COLB,5
COO,6
COP,7
COR,5
COST,8
CPB,8
CPLA,3
CPRT,4
CPSI,6
CPT,5
CPWR,1
CR,4
CREE,1
CRI,3
CRK,7
CRL,6
CRM,1
CROX,3
CRR,7
CRS,2
CRUS,1
CRVL,6
CRY,6
CRZO,7
CSC,1
CSCO,1
CSGS,1
CSH,5
CSL,4
CST,3
CSX,4
CTAS,4
CTL,10
CTRE,5
CTS,1
CTSH,1
CTXS,1
CUB,4
CUZ,5
CVBF,5
CVC,3
CVD,6
CVEO,4
CVG,1
CVGW,3
CVLT,1
CVS,8
CVX,7
CW,4
CXW,4
CY,1
CYBX,6
CYH,6
CYN,5
CYNO,6
CYT,2
D,9
DAKT,1
DAL,4
DAR,8
DBD,1
DCI,4
DCOM,5
DD,2
DDD,1
DE,4
DECK,3
DEL,2
DF,8
DFS,5
DG,3
DGII,1
DGX,6
DHI,3
DHR,4
DHX,1
DIN,3
DIOD,1
DIS,3
DKS,3
DLPH,3
DLTR,3
DLX,4
DMND,8
DNB,4
DNOW,4
DNR,7
DO,7
DORM,3
DOV,4
DOW,2
DPS,8
DPZ,3
DRC,7
DRE,5
DRH,5
DRI,3
DRIV,1
DRQ,7
DSPG,1
DST,1
DTE,9
DTSI,1
DTV,3
DUK,9
DV,3
DVA,6
DVN,7
DW,3
DWA,3
DXPE,4
DY,4
EA,1
EAT,3
EBAY,1
EBIX,1
EBS,6
ECL,2
ECPG,5
ED,9
EE,9
EFII,1
EFX,4
EGHT,10
EGL,4
EGN,9
EGOV,1
EGP,5
EHTH,5
EIG,5
EIX,9
EL,8
ELY,3
EMC,1
EME,4
EMN,2
EMR,4
ENDP,6
ENR,8
ENS,4
ENTR,1
EOG,7
EPAY,1
EPIQ,1
EPR,5
EQIX,1
EQR,5
EQT,9
EQY,5
ERA,7
ESE,4
ESI,3
ESIO,1
ESL,4
ESRX,6
ESS,5
ESV,7
ETFC,5
ETH,3
ETN,4
ETR,9
EV,5
EVR,5
EW,6
EWBC,5
EXAR,1
EXC,9
EXH,7
EXLS,1
EXP,2
EXPD,4
EXPE,3
EXPO,4
EXR,5
EZPW,5
F,3
FAF,5
FARO,1
FAST,4
FB,1
FBHS,4
FBP,5
FCF,5
FCFS,5
FCN,4
FCS,1
FCX,2
FDO,3
FDS,1
FDX,4
FE,9
FEIC,1
FELE,4
FF,2
FFBC,5
FFIN,5
FFIV,1
FHN,5
FICO,1
FII,5
FINL,3
FIS,1
FISV,1
FITB,5
FIX,4
FL,3
FLIR,1
FLO,8
FLR,4
FLS,4
FMBI,5
FMC,2
FMER,5
FN,1
FNB,5
FNF,5
FNFG,5
FNGN,5
FOR,5
FORR,1
FOSL,3
FOXA,3
FRAN,3
FRED,3
FRT,5
FRX,6
FSLR,4
FSP,5
FSS,4
FST,7
FTD,3
FTI,7
FTK,2
FTNT,1
FTR,10
FUL,2
FULT,5
FWRD,4
FXCM,5
GAS,9
GB,6
GBCI,5
GCI,3
GCO,3
GD,4
GDOT,5
GE,4
GEF,2
GEO,4
GEOS,7
GES,3
GFF,4
GGG,4
GGP,5
GHC,3
GHL,5
GIFI,7
GIII,3
GILD,6
GIS,8
GK,4
GLT,2
GLW,1
GM,3
GMCR,8
GME,3
GMT,4
GNCMA,10
GNTX,3
GNW,5
GOOG,1
GOV,5
GPC,3
GPI,3
GPN,1
GPOR,7
GPRE,7
GPS,3
GRMN,3
GS,5
GSM,2
GT,3
GTIV,6
GTY,5
GVA,4
GWR,4
GWW,4
GXP,9
GY,4
HAE,6
HAFC,5
HAIN,8
HAL,7
HAR,3
HAS,3
HAYN,2
HBAN,5
HBHC,5
HBI,3
HCBK,5
HCC,5
HCI,5
HCN,5
HCP,5
HCSG,4
HD,3
HE,9
HELE,3
HES,7
HF,5
HFC,7
HGR,6
HHS,3
HI,3
HIBB,3
HIG,5
HII,4
HITT,1
HIW,5
HLIT,1
HLX,7
HME,5
HMN,5
HMSY,6
HNI,4
HNT,6
HOG,3
HOLX,6
HOMB,5
HON,4
HOS,7
HOT,3
HP,7
HPQ,1
HPT,5
HPY,1
HR,5
HRB,3
HRC,6
HRL,8
HRS,1
HSC,4
HSH,8
HSIC,6
HSII,4
HSNI,3
HSP,6
HST,5
HSTM,6
HSY,8
HTLD,4
HUB/B,4
HUBG,4
HUM,6
HVT,3
HW,2
HWAY,6
HWKN,2
HZO,3
IART,6
IBM,1
IBOC,5
ICE,5
ICON,3
ICUI,6
IDA,9
IDCC,1
IDTI,1
IDXX,6
IEX,4
IFF,2
IGT,3
IGTE,1
IILG,3
IIVI,4
IM,1
INDB,5
INFA,1
INGR,8
ININ,1
INT,7
INTC,1
INTU,1
IO,7
IP,2
IPAR,8
IPCC,5
IPCM,6
IPG,3
