method                 , obs_level, overall_nonzero_mae , overall_nonzero_mse , overall_zero_mae    , overall_forecast_mae, overall_forecast_mse, overall_lag_rmse
VAR                    , none     , 0.0604984872043132  , 0.0059010828845202  , 0.0727491676807403  ,  0.1099505573511123 , 0.0200747083872556  , 1.474956099514659
ACLE-VAR               , none     , 0.0655072256922721  , 0.006976987235248   , 0.02904131449759    ,  0.1093959733843803 , 0.0198106113821268  , 1.005928373141891
VARX                   , all      , 0.0626667663455009  , 0.006555977743119   , 0.0721836909651756  ,  0.1085313037037849 , 0.0196096207946538  , 1.3150548921506544
ACLE-VARX              , all      , 0.0729478970170021  , 0.0088661294430494  , 0.0215341597795486  ,  0.1081463396549224 , 0.0194873064756393  , 1.1264230239252164
VARX                   , partial_2, 0.0603837631642818  , 0.0058973375707864  , 0.0719215050339698  ,  0.1097929328680038 , 0.020063430070877   , 1.449075505216971
ACLE-VARX              , partial_2, 0.0735815986990928  , 0.0089410301297903  , 0.0218942482024431  ,  0.1088495776057243 , 0.0197080597281456  , 1.170970183724236
VARX                   , partial_1, 0.0600850135087966  , 0.0057787653058767  , 0.0720490515232086  ,  0.1093687415122985 , 0.0198441315442323  , 1.5919844265615208
ACLE-VARX              , partial_1, 0.0697050541639328  , 0.0080756293609738  , 0.0246037673205137  ,  0.1084545850753784 , 0.0195808876305818  , 1.119362753075594
OR-VARX_lgbm           , all      , 0.0664695650339126  , 0.0068402434699237  , 0.0683293640613555  ,  0.1022853553295135 , 0.0169305987656116  , 1.287580707245143
ORACLE-VARX_lgbm       , all      , 0.0578505508601665  , 0.0056936298497021  , 0.0213827956467866  ,  0.1007399931550026 , 0.0164076816290617  , 0.9617944394148472
OR-VARX_lgbm           , partial_2, 0.068739116191864   , 0.0073555307462811  , 0.0714788734912872  ,  0.1067694202065467 , 0.0186056066304445  , 1.3107472114893797
ORACLE-VARX_lgbm       , partial_2, 0.0642847642302513  , 0.0069794352166354  , 0.0192490983754396  ,  0.1048214957118034 , 0.0180105902254581  , 1.051859195420324
OR-VARX_xgboost        , all      , 0.1056574434041976  , 0.0159937739372253  , 0.0726352110505104  ,  0.1110563650727272 , 0.0200094748288393  , 1.608834831349417
ORACLE-VARX_xgboost    , all      , 0.0796688869595527  , 0.0101730739697813  , 0.0234552510082721  ,  0.1103412136435508 , 0.0196328684687614  , 1.0371731559097574
OR-VARX_lgbm           , partial_1, 0.0582417622208595  , 0.0058661457151174  , 0.0743438303470611  ,  0.1129840463399887 , 0.0211595222353935  , 1.3027230629112148
ORACLE-VARX_lgbm       , partial_1, 0.0660817250609397  , 0.0070734471082687  , 0.0245966371148824  ,  0.1121012866497039 , 0.0208704005926847  , 1.0677987519927532
OR-VARX_extra_trees    , all      , 0.0626581683754921  , 0.0061708786524832  , 0.0692678540945053  ,  0.0945292711257934 , 0.0145292049273848  , 1.212075168292888
ORACLE-VARX_extra_trees, all      , 0.0625843480229377  , 0.0068784649483859  , 0.0184328164905309  ,  0.0942859947681427 , 0.0144497668370604  , 1.0726973532411113
OR-VARX_xgboost        , partial_2, 0.0958217084407806  , 0.0137437218800187  , 0.069545030593872   ,  0.1205462738871574 , 0.0236774645745754  , 1.7454517872882005
ORACLE-VARX_xgboost    , partial_2, 0.0801813602447509  , 0.0097292456775903  , 0.0226440131664276  ,  0.1194411665201187 , 0.0233612302690744  , 0.9370476254850576
OR-VARX_rf             , all      , 0.0715103968977928  , 0.0079398779198527  , 0.0708759576082229  ,  0.096058689057827  , 0.0150422761216759  , 1.2465096902018011
ORACLE-VARX_rf         , all      , 0.0646703615784645  , 0.0073092598468065  , 0.0201487801969051  ,  0.0957902148365974 , 0.0149415591731667  , 1.1067313896931084
OR-VARX_xgboost        , partial_1, 0.0777026116847992  , 0.009710774756968   , 0.0749671906232833  ,  0.1353949606418609 , 0.0304369796067476  , 2.165035482567595
ORACLE-VARX_xgboost    , partial_1, 0.0659852623939514  , 0.0067595588043332  , 0.0309913679957389  ,  0.1383896470069885 , 0.0318850539624691  , 0.9154552159593524
OR-VARX_extra_trees    , partial_2, 0.0595421455800533  , 0.0055352128110826  , 0.0685541927814483  ,  0.0988115891814231 , 0.016183216124773   , 1.2324102204446012
ORACLE-VARX_extra_trees, partial_2, 0.060667410492897   , 0.0062181456014513  , 0.0202608108520507  ,  0.0983987674117088 , 0.0160065125674009  , 1.0334220652998192
OR-VARX_rf             , partial_2, 0.0620896480977535  , 0.0064284913241863  , 0.0717095360159874  ,  0.1012964099645614 , 0.0170201174914836  , 1.3712725292641732
ORACLE-VARX_rf         , partial_2, 0.0617030262947082  , 0.006594477687031   , 0.0208680629730224  ,  0.1003913655877113 , 0.0167019050568342  , 1.0294687101814792
OR-VARX_extra_trees    , partial_1, 0.0571903996169567  , 0.0052092187106609  , 0.0715669840574264  ,  0.1097492724657058 , 0.0201882403343915  , 1.532305832739843
ORACLE-VARX_extra_trees, partial_1, 0.0620280988514423  , 0.0061716493219137  , 0.0277611780911684  ,  0.1088141277432441 , 0.0198635850101709  , 1.0453781774939548
OR-VARX_rf             , partial_1, 0.0605822503566741  , 0.0061753150075674  , 0.0742649808526039  ,  0.1128785014152526 , 0.0213946662843227  , 1.6191811426815512
ORACLE-VARX_rf         , partial_1, 0.06424622237682343 , 0.006740165408700705, 0.030448008328676224,  0.11248081922531128, 0.021231912076473236, 1.163856995853063
OR-VARX-TabPFN         , all      , 0.0670965462923049  , 0.007063724566251   , 0.0700801461935043  ,  0.092698335647583  , 0.013786974363029   , 1.194485712139268
ORACLE-VARX-TabPFN     , all      , 0.0612239055335521  , 0.0064783752895891  , 0.0203117113560438  ,  0.0925605222582817 , 0.0137013178318738  , 0.986117226533448
OR-VARX-TabPFN         , partial_2, 0.0594112649559974  , 0.0053301909938454  , 0.0688212439417839  ,  0.0993795245885849 , 0.0161826554685831  , 1.3370014269005028
ORACLE-VARX-TabPFN     , partial_2, 0.0593814775347709  , 0.0059351692907512  , 0.0209951102733612  ,  0.0983638018369674 , 0.0159186869859695  , 1.0007763976324844
OR-VARX-TabPFN         , partial_1, 0.0587743408977985  , 0.0053392415866255  , 0.0715625509619712  ,  0.108935423195362  , 0.0199247393757104  , 1.5068774375013003
ORACLE-VARX-TabPFN     , partial_1, 0.062487173825502396, 0.006170921493321657, 0.027239397168159485,  0.10825394093990326, 0.01961337774991989 , 1.0643380731612406
