method,obs,spearman_rho,xcorr_peak_lag,xcorr_peak_rho
ACLE-VAR,none,0.240261,9,0.251243
ACLE-VARX,all10,0.216987,19,0.255210
ACLE-VARX,macro5,0.320322,20,0.349270
ACLE-VARX,vix,0.254088,13,0.254137
OR-VARX-TabPFN,all10,0.194514,0,0.194514
OR-VARX-TabPFN,macro5,0.133527,-10,0.147579
OR-VARX-TabPFN,vix,0.138598,-11,0.157775
OR-VARX_extra_trees,all10,0.167110,-2,0.170830
OR-VARX_extra_trees,macro5,0.215095,1,0.216061
OR-VARX_extra_trees,vix,0.144577,1,0.148637
OR-VARX_lgbm,all10,0.099784,-1,0.101383
OR-VARX_lgbm,macro5,0.091102,1,0.092142
OR-VARX_lgbm,vix,0.216540,-11,0.230882
OR-VARX_rf,all10,0.131637,-10,0.146436
OR-VARX_rf,macro5,0.111985,-11,0.136189
OR-VARX_rf,vix,0.098292,1,0.099892
OR-VARX_xgboost,all10,0.002752,16,-0.053253
OR-VARX_xgboost,macro5,0.050452,-8,0.077727
OR-VARX_xgboost,vix,0.009084,-15,0.076257
ORACLE-VARX-TabPFN,all10,0.237890,2,0.240927
ORACLE-VARX-TabPFN,macro5,0.270805,17,0.302425
ORACLE-VARX-TabPFN,vix,0.249318,4,0.254168
ORACLE-VARX_extra_trees,all10,0.334813,1,0.337072
ORACLE-VARX_extra_trees,macro5,0.238136,2,0.240796
ORACLE-VARX_extra_trees,vix,0.241120,7,0.245057
ORACLE-VARX_lgbm,all10,0.229231,-21,0.261790
ORACLE-VARX_lgbm,macro5,0.209356,12,0.226863
ORACLE-VARX_lgbm,vix,0.304093,2,0.306074
ORACLE-VARX_rf,all10,0.230559,7,0.238215
ORACLE-VARX_rf,macro5,0.226724,10,0.242445
ORACLE-VARX_rf,vix,0.229449,21,0.295011
ORACLE-VARX_xgboost,all10,0.156176,-16,0.173865
ORACLE-VARX_xgboost,macro5,0.193053,-21,0.229774
ORACLE-VARX_xgboost,vix,0.259698,14,0.298834
VAR,none,0.005378,21,-0.110468
VARX,all10,0.074738,-5,0.083166
VARX,macro5,-0.102878,3,-0.105898
VARX,vix,-0.124233,21,-0.214234
